NO,FORMULA,COMPOUND NAME,MOLWT,TFP,TBP,TC,PC,VC,LDEN,TDEN,HVAP,VISA,VISB,DELHF,DELGF,CPVAPA,CPVAPB,CPVAPC,CPVAPD,ANTA,ANTB,ANTC,TMN,TMX,,title
52,CHCl2F,DICHLOROFLUOROMETHANE,102.923,-135.2,8.8,451.6,51.7,0.197,1380,9,"24,953",,,-298.94,-268.37,23.664,1.58E-01,-1.20E-04,3.26E-08,,,,,,,"CHCl2F, DICHLOROFLUOROMETHANE"
53,CHCl3,CHLOROFORM,119.378,-63.6,61.1,536.4,54.7,0.239,1489,20,"29,726",394.81,246.5,-101.32,-68.58,24.003,1.89E-01,-1.84E-04,6.66E-08,15.9732,2696.79,-46.16,-13,97,,"CHCl3, CHLOROFORM"
54,CHN,HYDROGEN CYANIDE,27.026,-13.3,25.7,456.8,53.9,0.139,688,20,"25,234",194.7,145.31,130.63,120.2,21.863,6.06E-02,-4.96E-05,1.82E-08,16.5138,2585.8,-37.15,-39,57,,"CHN, HYDROGEN CYANIDE"
55,CH2Br2,DIBROMOMETHANE,173.835,-52.6,96.8,583,71.9,,2500,20,,428.91,294.57,-4.19,-5.61,,,,,,,,,,,"CH2Br2, DIBROMOMETHANE"
56,CH2Cl2,DICHLOROMETHANE,84.993,-95.1,39.8,510,60.8,0.193,1317,25,"28,010",359.55,225.13,-95.46,-68.91,12.954,1.62E-01,-1.30E-04,4.21E-08,16.3029,2622.44,-41.7,-44,59,,"CH2Cl2, DICHLOROMETHANE"
57,CH2O,FORMALDEHYDE,30.026,-117.2,-19.2,408,65.9,,815,-20,"23,027",319.83,171.35,-115.97,-109.99,23.475,3.16E-02,2.99E-05,-2.30E-08,16.4775,2204.13,-30.15,-88,-2,,"CH2O, FORMALDEHYDE"
58,CH2O2,FORMIC ACID,46.025,8.3,100.6,580,,,1226,15,"21,939",729.35,325.72,-378.86,-351.23,11.715,1.36E-01,-8.41E-05,2.02E-08,16.9882,3599.58,-26.09,-2,136,,"CH2O2, FORMIC ACID"
59,CH3Br,METHYL BROMIDE,94.939,-93.7,3.5,464,86.1,,1737,-5,"23,928",298.15,211.15,-37.68,-28.18,14.428,1.09E-01,-5.40E-05,9.58E-09,16.0252,2271.71,-34.83,-58,53,,"CH3Br, METHYL BROMIDE"
60,CH3Cl,METHYL CHLORIDE,50.488,-97.8,-24.3,416.3,66.8,0.139,915,20,"21,436",426.45,193.56,-86.37,-62.93,13.875,1.01E-01,-3.89E-05,2.57E-09,16.1052,2077.97,-29.55,-93,-7,,"CH3Cl, METHYL CHLORIDE"
61,CH3F,METHYL FLUORIDE,34.033,-141.8,-78.4,317.8,58.8,0.124,843,-60,,,,-234.04,-210.14,13.825,8.62E-02,-2.07E-05,-1.99E-09,16.3428,1704.41,-19.27,-132,-64,,"CH3F, METHYL FLUORIDE"
62,CH3I,METHYL IODIDE,141.939,-66.5,42.4,528,65.9,0.19,2279,20,"27,214",336.19,229.95,13.98,15.66,10.806,1.39E-01,-1.04E-04,3.49E-08,16.0905,2629.55,-36.5,-13,52,,"CH3I, METHYL IODIDE"
63,CH3NO2,NITROMETHANE,61.041,-28.6,101.2,588,63.1,0.173,1138,20,"34,436",452.8,261.21,-74.78,-6.95,7.423,1.98E-01,-1.08E-04,2.09E-08,16.2193,2972.64,-64.15,5,136,,"CH3NO2, NITROMETHANE"
64,CH4,METHANE,16.043,-182.5,-161.5,190.6,46,0.099,425,-161,8185,114.14,57.6,-74.86,-50.87,19.251,5.21E-02,1.20E-05,-1.13E-08,15.2243,597.84,-7.16,-180,-153,,"CH4, METHANE"
65,CH4O,METHANOL,32.042,-97.7,64.6,512.6,81,0.118,791,20,"35,278",555.3,260.64,-201.3,-162.62,21.152,7.09E-02,2.59E-05,-2.85E-08,18.5875,3626.55,-34.29,-16,91,,"CH4O, METHANOL"
66,CH4S,METHYL MERCAPTAN,48.107,-123.2,5.9,470,72.3,0.145,866,20,"24,577",,,-22.99,-9.92,13.268,1.46E-01,-8.55E-05,2.08E-08,16.1909,2338.38,-34.44,-73,27,,"CH4S, METHYL MERCAPTAN"
67,CH5N,METHYL AMINE,31.058,-93.5,-6.4,430,74.6,0.14,703,-14,"26,000",311.8,176.3,-23.03,32.28,11.476,1.43E-01,-5.33E-05,4.75E-09,17.2622,2484.83,-32.92,-61,38,,"CH5N, METHYL AMINE"
68,CH6N2,METHYL HYDRAZINE,46.072,,90.8,567,80.4,0.271,,,,,,85.41,177.98,,,,,15.1424,2319.84,-91.7,-3,127,,"CH6N2, METHYL HYDRAZINE"
69,CH6Si,METHYL SILANE,46.145,-156.5,-57.6,352.5,,,,,,,,,,,,,,,,,,,,"CH6Si, METHYL SILANE"
70,C2ClF5,CHLOROPENTAFLUOROETHANE,154.467,-106.2,-39.2,353.2,31.6,0.252,,,"19,469",,,,,27.834,3.49E-01,-2.89E-04,8.14E-08,15.7343,1848.9,-30.88,-98,-43,,"C2ClF5, CHLOROPENTAFLUOROETHANE"
71,C2Cl2F4,1;1-DICHLORO-1;2;2;2-TETRAFLUOROETHANE,170.992,-94.2,3.8,418.6,33,0.294,1455,25,,,,,,40.453,3.28E-01,-2.75E-04,7.82E-08,,,,,,,"C2Cl2F4, 1;1-DICHLORO-1;2;2;2-TETRAFLUOROETHANE"
72,C2Cl2F4,1;2-DICHLORO-1;1;2;2-TETRAFLUOROETHANE,170.922,-93.9,3.7,418.9,32.6,0.293,1480,4,"23,279",,,-898.49,,38.778,3.44E-01,-2.95E-04,8.51E-08,,,,,,,"C2Cl2F4, 1;2-DICHLORO-1;1;2;2-TETRAFLUOROETHANE"
73,C2Cl3F3,1;2-DICHLORO-1;1;2;2-TETRAFLUOROETHANE,187.38,-35,47.5,487.2,34.1,0.304,1580,16,"27,507",,,-745.67,,61.14,2.87E-01,-2.42E-04,6.90E-08,15.8424,2532.61,-45.67,-23,87,,"C2Cl3F3, 1;2-DICHLORO-1;1;2;2-TETRAFLUOROETHANE"
74,C2Cl4,TETRACHLOROETHYLENE,165.834,-22.2,121.1,620,44.6,0.29,1620,20,"34,750",392.58,281.82,-12.14,22.61,45.971,2.26E-01,-2.29E-04,8.38E-08,16.1642,3259.29,-52.15,34,187,,"C2Cl4, TETRACHLOROETHYLENE"
75,C2Cl4F2,1;1;2;2-TETRACHLORO-1;2-DIFLUOROETHANE,203.831,24.8,91.5,551,,,1645,25,,,,,,,,,,,,,,,,"C2Cl4F2, 1;1;2;2-TETRACHLORO-1;2-DIFLUOROETHANE"
76,C2F4,TETRAFLUOROETHYLENE,100.016,-142.5,-75.7,306.4,39.4,0.175,1519,-76,,,,-659,-624.13,29.01,2.28E-01,-2.04E-04,6.78E-08,15.88,1574.6,-27.22,-133,-63,,"C2F4, TETRAFLUOROETHYLENE"
77,C2F6,HEXAFLUOROETHANE,138.012,-100.8,-78.3,292.8,,0.224,1590,-78,"16,161",,,-1343.96,-1258.22,26.816,3.46E-01,-2.87E-04,8.14E-08,15.6422,1512.94,-26.94,-103,-73,,"C2F6, HEXAFLUOROETHANE"
78,C2N2,CYANOGEN,52.035,-27.9,-20.7,400,59.8,,,,,,,309.15,297.39,35.935,9.25E-02,-8.22E-05,2.95E-08,,,,,,,"C2N2, CYANOGEN"
